ID,Title,Source,Document_type,translated,Content,Gemini_Label,HF_Label,Conflict,label
1,പശുക്കളുടെ തീറ്റക്രമം: ഓരോ ഘട്ടത്തിലും ശ്രദ്ധിക്കേണ്ട കാര്യങ്ങൾ,mathrubhumi.com,News Article,0,"പശുക്കളുടെ 10 മാസത്തെ കറവക്കാലത്തും, കറവ വറ്റുന്ന സമയത്തും തീറ്റയുടെ അളവിലും ഗുണത്തിലും മാറ്റങ്ങൾ വരുത്തേണ്ടത് അത്യാവശ്യമാണ്. ഫേസ് തീറ്റക്രമം, ചലഞ്ച് ഫീഡിങ്, സ്റ്റീമിങ് അപ്പ് തുടങ്ങിയ രീതികൾ ഇതിൽ ഉൾപ്പെടുന്നു. പ്രസവശേഷമുള്ള ആദ്യ 70 ദിവസങ്ങൾ, 70-140 ദിവസങ്ങൾ, 140-305 ദിവസങ്ങൾ, കറവ വറ്റുന്നതു മുതൽ പ്രസവത്തിന് 14 ദിവസം മുൻപ് വരെ, പ്രസവത്തിനു മുൻപുള്ള 14 ദിവസങ്ങൾ എന്നിങ്ങനെയുള്ള ഘട്ടങ്ങളിൽ തീറ്റരീതിയിൽ വ്യത്യാസങ്ങൾ വരുത്തണം.\n\n**ഒന്നാം ഘട്ടം (പ്രസവശേഷം 10-12 ആഴ്ചവരെ):**\nപ്രസവശേഷം പാലുത്പാദനം കൂടുന്ന സമയമാണിത്. ഈ സമയത്ത് പാലിൽ കൊഴുപ്പ് കുറവായിരിക്കും. പ്രസവത്തെ തുടർന്ന് ആമാശയം ചുരുങ്ങുന്നതിനാൽ പശുവിന് വിശപ്പ് കുറയുമെങ്കിലും പോഷകങ്ങൾ കൂടുതൽ ആവശ്യമാണ്. അതിനാൽ, കുറഞ്ഞ അളവിൽ കൂടുതൽ പോഷണം ലഭിക്കുന്ന തീറ്റയാണ് ഈ സമയത്ത് നൽകേണ്ടത്. ചലഞ്ച് ഫീഡിങ് ഈ ഘട്ടത്തിൽ പരീക്ഷിക്കാം. ആദ്യ രണ്ട് മാസം നാല് ദിവസത്തെ ഇടവേളകളിൽ അരക്കിലോഗ്രാം വീതം തീറ്റയുടെ അളവ് കൂട്ടണം. പാലിൽ ഊർജ്ജത്തിന്റെ അളവ് നിലനിർത്താൻ ബൈപാസ് ഫാറ്റ് പോലുള്ള ഊർജ്ജസ്രോതസ്സുകൾ ഉപയോഗിക്കാം. ഈ സമയത്ത് പാലുത്പാദനം ഒരു ലിറ്റർ കൂട്ടാൻ കഴിഞ്ഞാൽ, ആ കറവക്കാലയളവിൽ 220 ലിറ്റർ വരെ അധികം പാൽ ലഭിക്കാൻ സാധ്യതയുണ്ട്. അതുകൊണ്ട് ചാലഞ്ച് തീറ്റക്രമവും 'സ്റ്റീമിങ് അപ്പ്' രീതിയും അവലംബിക്കണം.\n\n**രണ്ടാം ഘട്ടം (12-24 ആഴ്ചക്കാലം):**\nഈ സമയത്ത് പശുവിന്റെ വിശപ്പും ദഹനവ്യവസ്ഥയും സാധാരണ നിലയിലാകും. കൂടുതൽ തീറ്റ കഴിക്കാൻ പശു ശ്രമിക്കുന്നതിനാൽ, പുല്ലും വൈക്കോലും ഉൾപ്പെടെയുള്ള തീറ്റ കാലിത്തീറ്റയ്‌ക്കൊപ്പം കൃത്യമായ അളവിൽ നൽകണം. ധാതുലവണ മിശ്രിതങ്ങളും തീറ്റയിൽ ഉൾപ്പെടുത്താം.\n\n**മൂന്നാം ഘട്ടം (24 ആഴ്ച മുതൽ കറവ വറ്റുന്നതു വരെ):**\nപാലുത്പാദനം കുറഞ്ഞു വരുന്ന ഈ ഘട്ടത്തിൽ പശുക്കൾ ഗർഭവതിയായിരിക്കും. പ്രതിമാസം 8-10 ശതമാനം നിരക്കിൽ ഉത്പാദനം കുറയുന്നതിനാൽ, തീറ്റച്ചിലവ് കുറയ്ക്കാൻ കഴിയുന്ന രീതിയിൽ ആഹാരക്രമം മാറ്റാവുന്നതാണ്. അളവിലും ഗുണത്തിലും മാറ്റങ്ങൾ വരുത്താൻ ഇത് അനുയോജ്യമായ സമയമാണ്.\n\n**നാലാം ഘട്ടം (വറ്റുകാലം):**\nഅടുത്ത കറവക്കാലത്തേക്കും പ്രസവത്തിലേക്കും അകിടിനെയും ദഹനവ്യൂഹത്തെയും ഒരുക്കാനുള്ള സമയമാണിത്. അടുത്ത കറവക്കാലത്ത് ഉത്പാദനം കൂട്ടാനും രോഗങ്ങൾ ഒഴിവാക്കാനും ഈ ഘട്ടത്തിലെ തീറ്റക്രമം സഹായിക്കും. പാലുത്പാദനമില്ലാത്തതിനാൽ കർഷകർ ഈ സമയത്ത് പശുക്കളെ അവഗണിക്കാൻ സാധ്യതയുണ്ട്. ധാതുലവണ മിശ്രിതം ഒഴിവാക്കി ആനയോണിക്ക് ഉപ്പുകൾ, വിറ്റമിൻ എ, ഡി, ഇ, നിയാസിൻ എന്നിവ നൽകണം.\n\n**അഞ്ചാം ഘട്ടം (പ്രസവത്തിനുമുമ്പുള്ള രണ്ടാഴ്ചക്കാലം):**\nപ്രസവത്തിന് രണ്ടാഴ്ച മുൻപുള്ള ഈ സമയം അതീവ ശ്രദ്ധയോടെ കൈകാര്യം ചെയ്യണം. പ്രസവശേഷം നൽകാൻ ഉദ്ദേശിക്കുന്ന തീറ്റയുമായി പശുവിന്റെ ആമാശയത്തിലെ റൂമനെ പരിചയപ്പെടുത്താനുള്ള സമയമാണിത്. പുതിയ തീറ്റയുമായി റൂമനിലെ സൂക്ഷ്മജീവികൾക്ക് പൊരുത്തപ്പെടാൻ ഏകദേശം രണ്ടാഴ്ച സമയമെടുക്കും. അതിനാൽ, ഈ സമയത്ത് പുതിയ തീറ്റ ക്രമേണ നൽകി തുടങ്ങാം.",LIVESTOCK,CROPS,TRUE,LIVESTOCK
2,Crop Classification Based on Ontogeny (Life Cycle),https://drive.google.com/file/d/1mC8vOe7jVjlxlYPWUptm6X0X2Z-WBrsZ/view,ICAR e notes,1,"വാര്‍ഷികവിളകള്‍ ഒരു കാലയളവില്‍ തന്നെ ജീവിതചക്രം പൂര്‍ത്തിയാക്കുന്നു. ഗോതമ്പ്, നെല്ല്, ചോളം, കടുകു എന്നിവ ഉദാഹരണങ്ങളാണ്. ദ്വൈവാഴ്ഷികവിളകള്‍ക്ക് രണ്ട് കാലയളവുകളുടെ ആയുസ്സുണ്ട്, ആദ്യകാലയളവില്‍ കാണ്ഡവളര്‍ച്ചയും രണ്ടാം കാലയളവില്‍ വിത്ത് ഉത്പാദനവും. ഉദാഹരണത്തിന്, കരിമ്പ്, ചുക്കു എന്നിവ. ബഹുവാര്‍ഷികവിളകള്‍ മൂന്ന് വര്‍ഷമോ അതിലധികമോ കാലം ജീവിക്കുകയും വിത്ത് ഉത്പാദിപ്പിക്കുകയോ ചെയ്യാതിരിക്കുകയോ ചെയ്യാം. ഉദാഹരണത്തിന് നെപ്പിയര്‍ പുല്ല്, തെങ്ങ് എന്നിവ.""",CROPS,CROPS,FALSE,CROPS
3,Crop Classification Based on Economic Use (Agronomic),https://drive.google.com/file/d/1mC8vOe7jVjlxlYPWUptm6X0X2Z-WBrsZ/view,ICAR e notes,1,"""ഈ വർഗ്ഗീകരണം വിളകളെ അവയുടെ പ്രാഥമിക ഉപയോഗത്തെ അടിസ്ഥാനമാക്കി വിഭജിക്കുന്നു. ധാന്യവിളകൾ അന്നജ സമ്പുഷ്ടമായ കുരുക്കൾക്കുവേണ്ടി കൃഷി ചെയ്യുന്ന പുല്ലുകളാണ്, ഉദാ: അരി, ഗോതമ്പ്, ചോളം. ചെറു ധാന്യവിളകൾ, സാധാരണയായി വരണ്ട പ്രദേശങ്ങളിലെ പ്രധാന ഭക്ഷണമാണ്. പയറുവർഗ്ഗങ്ങൾ പ്രോട്ടീൻ സമ്പുഷ്ടമായ വിത്തുകൾക്കുവേണ്ടി ഉപയോഗിക്കുന്ന കടല വർഗ്ഗ സസ്യങ്ങളാണ്, ഉദാ: ചെറുപയർ, ഉഴുന്ന്, പാവൽ. എണ്ണക്കുരുക്കൾ ഭക്ഷ്യ, വ്യവസായ അല്ലെങ്കിൽ ഔഷധാവശ്യങ്ങൾക്ക് ഉപയോഗിക്കുന്ന കൊഴുപ്പമ്ലങ്ങളാൽ സമ്പുഷ്ടമായ വിളകളാണ്, ഉദാ: നിലക്കടല, എള്ളു, സൂര്യകാന്തി. പഞ്ചസാരവിളകൾ അവയുടെ പഞ്ചസാര അംശത്തിനുവേണ്ടി കൃഷി ചെയ്യുന്നു, ഉദാ: കരിമ്പ്, ചക്കരക്കിഴങ്ങ്. നാരുകളുടെ ഉത്പാദനത്തിനായി നാര് വിളകൾ വളർത്തുന്നു, ഉദാ: പരുത്തി, ചണ. കാലിത്തീറ്റ സസ്യങ്ങൾ മൃഗങ്ങളുടെ ആഹാരമായി ഉപയോഗിക്കുന്ന സസ്യവസ്തുക്കളാണ്. സുഗന്ധവ്യഞ്ജനങ്ങൾ ഭക്ഷണത്തിന് രുചിയും നിറവും നൽകാൻ ഉപയോഗിക്കുന്നു. ഔഷധ സസ്യങ്ങൾ ഔഷധ ഉത്പാദനത്തിനായി ഉപയോഗിക്കുന്നു. പാനീയങ്ങൾ പാനീയങ്ങൾ ഉണ്ടാക്കാൻ ഉപയോഗിക്കുന്ന വിളകളാണ്.""",CROPS,CROPS,FALSE,CROPS
4,Crop Classification Based on Seasons,https://drive.google.com/file/d/1mC8vOe7jVjlxlYPWUptm6X0X2Z-WBrsZ/view,ICAR e notes,1,"""ജൂണ്‍-ജൂലൈ മുതല്‍ സെപ്റ്റംബര്‍-ഒക്ടോബര്‍ വരെ ചൂടും ഈര്‍പ്പവുമുള്ള കാലാവസ്ഥയിലാണ് ഖരിഫ് വിളകള്‍ കൃഷി ചെയ്യുന്നത്. ഉദാഹരണങ്ങള്‍: നെല്ല്, ചോളം, അമര, ശേമ. ഒക്ടോബര്‍-നവംബര്‍ മുതല്‍ ജനുവരി-ഫെബ്രുവരി വരെ തണുപ്പും വരള്‍ച്ചയുമുള്ള കാലാവസ്ഥയിലാണ് റബി വിളകള്‍ കൃഷി ചെയ്യുന്നത്. ഉദാഹരണങ്ങള്‍: ഗോതമ്പ്, കടുകു, ബാര്‍ലി, ഓട്സ്, കടല. ഫെബ്രുവരി-മാര്‍ച്ച് മുതല്‍ മേയ്-ജൂണ്‍ വരെ ചൂടും വരള്‍ച്ചയുമുള്ള കാലാവസ്ഥയിലാണ് ഗ്രീഷ്മകാല വിളകള്‍ കൃഷി ചെയ്യുന്നത്. ഉദാഹരണങ്ങള്‍: ഉഴുന്ന്, പയര്‍, എള്ള്, ചെറുപയര്‍.""",CROPS,CROPS,FALSE,CROPS
5,Crop Classification Based on Climatic Conditions,https://drive.google.com/file/d/1mC8vOe7jVjlxlYPWUptm6X0X2Z-WBrsZ/view,ICAR e notes,1,ഉഷ്ണമേഖലാവിളകളിൽ തെങ്ങും കരിമ്പ് ഉൾപ്പെടുന്നു. ഉഷ്ണമേഖലാന്തര വിളകളിൽ നെല്ലും പഞ്ഞിയും ഉൾപ്പെടുന്നു. സമശീതോഷ്ണാവിളകളിൽ ഗോതമ്പും ബാർലിയും ഉൾപ്പെടുന്നു. ധ്രുവീയവിളകളിൽ പൈനും പുൽമേട് പുല്ലുകളും ഉൾപ്പെടുന്നു.,CROPS,CROPS,FALSE,CROPS
6,Scientific or Botanical Classification of Crops,https://drive.google.com/file/d/1mC8vOe7jVjlxlYPWUptm6X0X2Z-WBrsZ/view,ICAR e notes,1,"""ഈ വർഗ്ഗീകരണം സർവ്വവ്യാപകമായി അംഗീകരിക്കപ്പെട്ട സസ്യനാമങ്ങളിൽ ജനുസ്സും സ്പീഷിസും ഉൾക്കൊള്ളുന്ന ബൈനോമിയൽ സമ്പ്രദായം ഉപയോഗിക്കുന്നു. ഗോതമ്പും അൽഫാൽഫയും ഉദാഹരണങ്ങളായി നൽകിയിട്ടുണ്ട്, രാജ്യതലം മുതൽ സ്പീഷിസ് തലം വരെയുള്ള അവയുടെ വർഗ്ഗീകരണം വിശദീകരിക്കുന്നു.""",CROPS,CROPS,FALSE,CROPS
7,Major Soils of India,https://drive.google.com/file/d/1mC8vOe7jVjlxlYPWUptm6X0X2Z-WBrsZ/view,ICAR e notes,1,"""സമതല പ്രദേശങ്ങളിലെ മണ്ണാണ് ഏറ്റവും വ്യാപകമായി കാണപ്പെടുന്നത്, ഇത് 48.0 ദശലക്ഷം ഹെക്ടറിലധികം വിസ്തൃതിയിൽ വ്യാപിച്ചിരിക്കുന്നു. മറ്റു പ്രധാന മണ്ണ് തരങ്ങളിൽ കറുത്ത മണ്ണ് (വെർട്ടിസോൾ), ചുവന്ന മണ്ണ് (ആൽഫിസോൾ), ലാറ്ററൈറ്റ് മണ്ണ് (അൾട്ടിസോൾ), മരുഭൂമി മണ്ണ് (ആറിഡിസോൾ), കാട്ടുമണ്ണ്, കുന്നിൻ മണ്ണ്, പീറ്റ് മണ്ണ്, ചതുപ്പ് മണ്ണ്,  ലവണ മണ്ണ്,  ക്ഷാര മണ്ണ്,  അമ്ല മണ്ണ് തുടങ്ങിയ പ്രശ്ന മണ്ണുകൾ എന്നിവ ഉൾപ്പെടുന്നു.""",ENVIRONMENTAL_FACTORS,CROPS,TRUE,ENVIRONMENTAL_FACTORS
8,"വഴുതന കൃഷി സിമ്പിൾ ആണ്, പവർഫുള്ളും",https://www.asianetnews.com/gallery/agriculture/how-to-grow-eggplant-gtokfp,News Article,0,"""വിവിധ കാർഷിക-കാലാവസ്ഥാ പ്രദേശങ്ങളുമായി പൊരുത്തപ്പെടുന്ന ഒരു വൈവിധ്യമാർന്ന വിളയാണ് വഴുതന. വർഷം മുഴുവനും വിളവെടുപ്പ് സാധ്യമായ വഴുതന ഫോസ്ഫറസ്, കാൽസ്യം, ഇരുമ്പ് തുടങ്ങിയവയുടെ സ്രോതസ്സാണ്. കാലാവസ്ഥ, മണ്ണ്, വിത്ത് തിരഞ്ഞെടുക്കൽ, നടീൽ രീതി, ജലസേചനം, വളം പ്രയോഗം, കീടാക്രമണ നിയന്ത്രണം, വിളവെടുപ്പ് എന്നിവയാണ് വഴുതന കൃഷി ചെയ്യുമ്പോൾ നാം പ്രധാനമായും ശ്രദ്ധിക്കേണ്ടത്.
ചൂടുള്ള കാലാവസ്ഥയാണ് വഴുതന കൃഷിക്ക് കൂടുതൽ അനുയോജ്യം. നല്ല സൂര്യപ്രകാശം ലഭിക്കുന്ന സ്ഥലം തന്നെ നടാൻ വേണ്ടി തിരഞ്ഞെടുക്കുക.
മണ്ണും മണലും കമ്പോസ്റ്റും അടങ്ങിയ മണ്ണില്‍ 5:10:5 എന്ന അളവില്‍ നൈട്രജൻ വളവും ഫോസ്ഫറസും പൊട്ടാസ്യവും ചേര്‍ത്ത് കൃഷി ചെയ്യുന്നതാണ് നല്ലത്. മണ്ണിൻ്റ pH 6.5-7.5 നിലനിർത്തുന്നത് നല്ലതാണ്.
വിത്തുകൾ തിരഞ്ഞെടുക്കുമ്പോൾ രോഗപ്രതിരോധ ശേഷിയുള്ളതും ഉയർന്ന വിളവ് തരുന്നതുമായ ഇനങ്ങൾ തിരഞ്ഞെടുക്കുക. സങ്കര ഇനങ്ങൾ തിരഞ്ഞെടുക്കുക.
വഴുതനച്ചെടിക്ക് വളരാനാവശ്യമായ സ്ഥലം നല്‍കണം. 30 സെ.മീ അകലം നല്‍കി മാത്രമേ ചെടികള്‍ വളര്‍ത്താവൂ. മണ്ണ് ഈർപ്പമുള്ളതാകാൻ ശ്രദ്ധിക്കണം, വേനൽക്കാലത്ത് നനയ്ക്കുന്നതിൻ്റെ അളവ് കൂട്ടണം.
ചാണകപ്പൊടി, കംപോസ്റ്റ് തുടങ്ങിയ ജൈവവളങ്ങൾ ഉപയോഗിക്കുക.രോഗം ബാധിച്ച ചെടികൾ പറിച്ചു കളയുക. 70 ദിവസങ്ങൾക്ക് ശേഷമാണ് വഴുതന വിളവെടുപ്പിന് പാകമാകുന്നത്.
വഴുതന പാകമായോ എന്നറിയാന്‍ മെല്ലെ അമര്‍ത്തി നോക്കുക. വിരലടയാളം കായയില്‍ കാണുകയും വളരെ പെട്ടെന്ന് തന്നെ പൂര്‍വ സ്ഥിതിയിലേക്ക് മാറുകയും ചെയ്യുന്നുണ്ടെങ്കിൽ വിളവെടുപ്പിന് പാകമായെന്നര്‍ഥം.""",CROPS,CROPS,FALSE,CROPS
9,"കാരറ്റ് ഇങ്ങനെ നട്ടു നോക്കൂ, വിളവുഷാറാകും",https://www.asianetnews.com/agriculture/how-to-grow-carrot-articleshow-c6cevip,News Article,0,"""3 ഇഞ്ച് വ്യത്യാസത്തില്‍ വേണം ചെടികള്‍ നടാന്‍. ആറ് മണിക്കൂര്‍ സൂര്യപ്രകാശം ലഭിക്കുന്ന സ്ഥലം വേണം തൈകൾ നടാൻ തെരഞ്ഞെടുക്കാന്‍.
പോഷക കലവറകളാല്‍ സമ്പുഷ്ടമാണ് കാരറ്റ്. എങ്ങനെയാണ് കാരറ്റ് വളർത്തിയെടുക്കുന്നത് എന്ന് നോക്കാം.
കാരറ്റ് വിളകള്‍ക്ക് ആഴത്തിലുള്ള അയഞ്ഞ മണ്ണ് ആവശ്യമാണ്. അത്തരം മണ്ണ് തന്നെ കൃഷി ചെയ്യുമ്പോൾ തെരഞ്ഞെടുക്കാൻ ശ്രദ്ധിക്കണം. ഉയര്‍ന്ന ഉല്‍പാദനത്തിന് pH 6.0 മുതല്‍ 7.0 വരെയാകണം. നവംബര്‍-ഡിസംബര്‍ മാസങ്ങളില്‍ കൃഷി ചെയ്യുന്നതാണ് ഏറ്റവും അനുയോജ്യം
3 ഇഞ്ച് വ്യത്യാസത്തില്‍ വേണം ചെടികള്‍ നടാന്‍. ആറ് മണിക്കൂര്‍ സൂര്യപ്രകാശം ലഭിക്കുന്ന സ്ഥലം വേണം തൈകൾ നടാൻ തെരഞ്ഞെടുക്കാന്‍. കുട്ട മണ്ണ്, ചകിരിച്ചോറ്, ഉണങ്ങിയ ചാണകം, എല്ലുപൊടി, വേപ്പിന്‍ പിണ്ണാക് എന്നിവയാണ് അനുയോജ്യമായ വളങ്ങൾ.
പറിച്ചുനടുന്നതിന് മുമ്പ്, തൈകളുടെ വേര് 5% സ്യൂഡോമോണസ് ഫ്‌ലൂറസന്‍സിൽ മുക്കുക. അഞ്ച് ദിവസത്തില്‍ ഒരിക്കല്‍, ജലസേചനം നല്‍കണം. നിലമൊരുക്കുമ്പോള്‍ വേപ്പിൻ പിണ്ണാക്ക് പ്രയോഗിക്കുക.
ജൈവവളങ്ങള്‍, അസോസ്പിരില്ലം, ഫോസ്‌ഫോബാക്ടീരിയ എന്നിവ മണ്ണ് തയ്യാറാക്കുന്ന സമയത്ത് ഉപയോഗിക്കുക. 80-85 ദിവസങ്ങള്‍ കഴിയുമ്പോള്‍ കാരറ്റ് മണ്ണിനു മുകളില്‍ ദൃശ്യമാകാന്‍ തുടങ്ങും. നന കൂടിപ്പോയാല്‍, ഇലകള്‍ വലുതും കായകള്‍ ചെറുതുമാകും. അതിനാൽ അതിനനുസരിച്ച് ശ്രദ്ധിച്ച് വേണം നനയ്ക്കാൻ.""",AGRI_PRACTICES,CROPS,TRUE,AGRI_PRACTICES
10,റംബൂട്ടാൻ കൃഷിചെയ്യും മുമ്പ് ഇക്കാര്യങ്ങൾ അറിഞ്ഞിരിക്കൂ,https://www.asianetnews.com/gallery/agriculture/how-to-grow-rambutan-in-home-d0dqgw4,News Article,0,"""റംബൂട്ടാൻ ഇഷ്ടപ്പെടുന്ന അനേകം പേരുണ്ട്. എന്നാൽ കടയിൽ നിന്നും വാങ്ങുന്നതിന് പകരം റംബൂട്ടാൻ ഇനി വീട്ടിൽ തന്നെ കൃഷി ചെയ്താലോ? അല്പം സ്ഥലമുണ്ടെങ്കിൽ റംബൂട്ടാൻ നമുക്ക് വീട്ടിൽ തന്നെ വളർത്തിയെടുക്കാം. അതിന് എന്തൊക്കെ കാര്യങ്ങളാണ് ശ്രദ്ധിക്കേണ്ടത്?
കൃഷിക്ക് തിരഞ്ഞെടുക്കുന്ന സ്ഥലം നന്നായി സൂര്യപ്രകാശം ലഭിക്കുന്നതും നീർവാർച്ചയുള്ളതുമായിരിക്കണം. വെള്ളക്കെട്ടുള്ള സ്ഥലങ്ങൾ ഒഴിവാക്കണം.തൈകൾ തിരഞ്ഞെടുക്കുമ്പോൾ നല്ല ആരോഗ്യമുള്ളതും രോഗബാധയില്ലാത്തതുമായ തൈകൾ തിരഞ്ഞെടുക്കുക.
വിത്ത് മുളപ്പിച്ച് കിളിർത്ത തൈകളേക്കാൾ ഒട്ടുതൈകൾ തിരഞ്ഞെടുക്കുന്നതാണ് നല്ലത്. തൈകൾ നടുമ്പോൾ 8-10 മീറ്റർ അകലം നൽകാൻ ശ്രദ്ധിക്കണം.
തൈകൾ നട്ട് ആദ്യത്തെ 3 വർഷം ചാണകപ്പൊടി, വേപ്പിൻപിണ്ണാക്ക്, എല്ലുപൊടി എന്നിവ തുല്യ അളവിൽ നൽകാം. ഒരു വർഷം പ്രായമാകുമ്പോൾ ജൈവവളങ്ങൾ 4 തവണയും, ജീവാണുവളങ്ങൾ 2 തവണയും നൽകാം.
വേനൽക്കാലത്ത് ചെടി നിർബന്ധമായും നനച്ചു കൊടുക്കണം. നനയ്ക്കുമ്പോൾ ചെടിയുടെ ചുവട്ടിൽ മാത്രമായിരിക്കണം നനയ്ക്കുന്നത്.
മരത്തിന് കൂടുതൽ ബലം നൽകാനും, കായ്ഫലം കൂട്ടാനും മരങ്ങൾ 10-15 അടി ഉയരത്തിൽ എത്തുമ്പോൾ കൊമ്പുകൾ കോതി ഒതുക്കണം.
വേപ്പിൻകുരു സത്ത് പോലുള്ള ജൈവ കീടനാശിനികൾ ഉപയോഗിച്ച് കീടങ്ങളെ നിയന്ത്രിക്കാം. അപ്പോൾ‌ റംബൂട്ടാൻ നടാനൊരുങ്ങുകയല്ലേ?""",AGRI_PRACTICES,CROPS,TRUE,AGRI_PRACTICES
